"rank","global_rank","so_answer_id"
343,14616,"2244077"
344,14623,"6383050"
345,14667,"18389174"
346,14701,"18987738"
347,14751,"26306183"
348,14853,"5153956"
349,14861,"14017809"
350,14863,"16764615"
351,14867,"22040067"
352,14896,"13972697"
353,14919,"22877465"
354,14940,"19568629"
355,14941,"8890335"
356,14987,"8393894"
357,15051,"7320393"
358,15072,"12814571"
359,15075,"1612912"
360,15121,"792049"
361,15124,"15486742"
362,15129,"6646535"
363,15173,"2445403"
364,15220,"8871710"
365,15226,"3180560"
366,15232,"10960438"
367,15257,"23380335"
368,15274,"9652143"
369,15284,"18828505"
370,15327,"6186736"
371,15332,"2651644"
372,15365,"6805035"
373,15411,"29336"
374,15529,"26352710"
375,15547,"692586"
376,15619,"2015524"
377,15633,"1655450"
378,15696,"5902142"
379,15714,"286167"
380,15750,"13174103"
381,15787,"13582099"
382,15827,"12367965"
383,15838,"23004988"
384,15886,"10039728"
385,15910,"7415784"
386,15940,"7318397"
387,15958,"19829156"
388,16077,"15805895"
389,16093,"2208962"
390,16107,"2301155"
391,16175,"8963444"
392,16178,"4666766"
393,16299,"13578545"
394,16396,"15657672"
395,16513,"16520136"
396,16534,"18944328"
397,16610,"6166770"
398,16620,"5287521"
399,16684,"15020888"
400,16686,"2774626"
401,16698,"22125510"
402,16699,"8336631"
403,16749,"10344043"
404,16868,"1086092"
405,16964,"22920121"
406,16973,"15305986"
407,16975,"4120268"
408,17084,"302669"
409,17089,"4288124"
410,17152,"6563306"
411,17175,"14584318"
412,17191,"19535849"
413,17212,"15027342"
414,17247,"16396915"
415,17264,"16793361"
416,17265,"3160356"
417,17267,"16714180"
418,17271,"15349611"
419,17338,"26010617"
420,17395,"7882095"
421,17396,"7613653"
422,17465,"751827"
423,17487,"10133538"
424,17498,"2242486"
425,17508,"7746017"
426,17515,"17595303"
427,17548,"18787263"
428,17552,"2444366"
429,17602,"5928316"
430,17650,"16392922"
431,17692,"16764329"
432,17760,"9383062"
433,17788,"11444092"
434,17801,"20186749"
435,17844,"1421220"
436,17865,"15040553"
437,17928,"15772033"
438,17946,"1054569"
439,17993,"6415153"
440,17996,"601282"
441,18056,"24692705"
442,18089,"2562575"
443,18130,"19925109"
444,18171,"9515546"
445,18192,"9293022"
446,18215,"9464309"
447,18222,"16447648"
448,18255,"17939617"
449,18259,"5443731"
450,18283,"698382"
451,18373,"2984550"
452,18374,"14168238"
453,18375,"12499122"
454,18429,"4019497"
455,18433,"1510579"
456,18486,"12216512"
457,18502,"18377848"
458,18505,"21553582"
459,18557,"8701948"
460,18573,"16998587"
461,18598,"25444253"
462,18623,"12690151"
463,18655,"6638330"
464,18666,"8288229"
465,18723,"11494262"
466,18741,"5625661"
467,18771,"12216346"
468,18776,"2290089"
469,18783,"16363614"
470,18811,"903982"
471,18846,"748950"
472,18860,"2944183"
473,18881,"11171460"
474,18883,"6176529"
475,18898,"19766607"
476,18993,"2166059"
477,19175,"10363109"
478,19194,"8924691"
479,19216,"29354222"
480,19313,"20203169"
481,19367,"18871400"
482,19409,"19238077"
483,19457,"46343671"
484,19467,"5258241"
485,19491,"17974027"
486,19494,"17428847"
487,19514,"13350772"
488,19555,"9108806"
489,19559,"9115920"
490,19574,"1094581"
491,19635,"7535326"
492,19655,"13678577"
493,19666,"10596272"
494,19790,"6734194"
495,19838,"2109186"
496,19880,"10499775"
497,20011,"17330561"
498,20025,"7397829"
499,20046,"7190525"
500,20066,"19066796"
501,20127,"3665565"
502,20171,"5658489"
503,20197,"5604260"
504,20206,"641190"
505,20241,"12793649"
506,20247,"7644041"
507,20260,"12161405"
508,20272,"12812355"
509,20276,"38520847"
510,20305,"8428360"
511,20311,"13340977"
512,20414,"15697260"
513,20431,"13047830"
514,20455,"6981632"
515,20457,"13774469"
516,20537,"13738504"
517,20590,"9594927"
518,20617,"14235987"
519,20627,"21364677"
520,20631,"1438437"
521,20642,"19329763"
522,20655,"11426036"
523,20708,"93979"
524,20797,"865095"
525,20805,"2534131"
526,20810,"24378357"
527,20886,"5616241"
528,20908,"5583571"
529,20915,"23264495"
530,20961,"3791277"
531,21001,"9143119"
532,21013,"2012459"
533,21073,"6916307"
534,21191,"13789157"
535,21259,"7762882"
536,21268,"2568163"
537,21322,"494480"
538,21343,"9083919"
539,21350,"7610174"
540,21373,"16665190"
541,21401,"14065785"
542,21465,"10621739"
543,21483,"20265955"
544,21492,"687593"
545,21499,"10399829"
546,21568,"13614639"
547,21594,"1072895"
548,21618,"18407507"
549,21629,"4585668"
550,21655,"2393302"
551,21676,"1080364"
552,21790,"27894962"
553,21946,"10567017"
554,21955,"12841430"
555,21959,"12202237"
556,21985,"2938833"
557,22023,"25768502"
558,22039,"2973968"
559,22059,"996154"
560,22069,"14413618"
561,22173,"5257183"
562,22278,"29448044"
563,22287,"10164596"
564,22328,"4067667"
565,22340,"31371005"
566,22430,"10980766"
567,22457,"11248246"
568,22481,"10740675"
569,22489,"3199748"
570,22501,"8920364"
571,22515,"23667516"
572,22518,"9228613"
573,22524,"9682048"
574,22538,"5141106"
575,22595,"16974310"
576,22608,"11666439"
577,22622,"945036"
578,22624,"1637892"
579,22700,"2704944"
580,22705,"11735291"
581,22756,"128040"
582,22824,"1699325"
583,22848,"10690542"
584,22849,"8142622"
585,22853,"16140454"
586,22863,"9033314"
587,22953,"8551499"
588,22961,"24542150"
589,22998,"19185190"
590,23095,"2448719"
591,23143,"2899335"
592,23156,"16616215"
593,23164,"21547862"
594,23210,"18510452"
595,23212,"19065832"
596,23226,"10187954"
597,23256,"4684305"
598,23263,"14333844"
599,23298,"11860655"
600,23342,"10040855"
601,23381,"7706684"
602,23409,"1473198"
603,23425,"3006423"
604,23434,"11034217"
605,23525,"19734456"
606,23538,"926990"
607,23647,"11714190"
608,23649,"5390617"
609,23683,"9638396"
610,23737,"4078601"
611,23791,"18407186"
612,23816,"29910902"
613,23824,"876954"
614,23894,"2771964"
615,23903,"25824882"
616,23966,"13021152"
617,24021,"22051198"
618,24049,"13246758"
619,24057,"17759946"
620,24059,"16730358"
621,24073,"4933970"
622,24080,"2253626"
623,24112,"5364380"
624,24122,"2948453"
625,24154,"2711078"
626,24175,"13112873"
627,24180,"5223857"
628,24231,"19336268"
629,24248,"18471715"
630,24269,"7427204"
631,24337,"4436173"
632,24375,"10768198"
633,24419,"5244298"
634,24437,"27834513"
635,24448,"18708275"
636,24467,"7069150"
637,24478,"2411199"
638,24543,"33593392"
639,24587,"15575578"
640,24599,"6203291"
641,24627,"27073991"
642,24633,"11929625"
643,24684,"342110"
644,24690,"1109406"
645,24712,"17509803"
646,24754,"8661032"
647,24812,"4095491"
648,24824,"6476288"
649,24840,"25491787"
650,24877,"20494802"
651,24928,"7134557"
652,24932,"20947869"
653,24938,"15863698"
654,24954,"13851790"
655,24961,"18203093"
656,24984,"12855188"
657,25007,"8768571"
658,25034,"28999776"
659,25038,"19936269"
660,25047,"23439939"
661,25055,"16334913"
662,25087,"4739777"
663,25098,"5459521"
664,25105,"3717262"
